t,x,y,z
1782661515.026,0.10023,0.00954,-0.03192
1782661515.059,0.10539,0.01127,-0.03347
1782661515.126,0.11592,0.01411,-0.03641
1782661515.159,0.12125,0.01460,-0.03837
1782661515.192,0.12534,0.01513,-0.03965
1782661515.226,0.12849,0.01559,-0.04025
1782661515.259,0.13657,0.01586,-0.04266
1782661515.292,0.14816,0.01662,-0.04585
1782661515.326,0.16002,0.01760,-0.04893
1782661515.393,0.17492,0.01798,-0.05339
1782661515.426,0.17939,0.01807,-0.05408
1782661515.459,0.17939,0.01807,-0.05408
1782661515.493,0.19051,0.01896,-0.05759
1782661515.526,0.19753,0.01944,-0.05909
1782661515.559,0.20361,0.01946,-0.06121
1782661515.626,0.22884,-0.00644,0.01220
1782661515.659,0.23522,-0.00830,0.01510
1782661515.693,0.24168,-0.01105,0.01596
1782661515.726,0.24740,-0.00839,0.01516
1782661515.793,0.26380,-0.01363,0.01058
1782661515.826,0.27193,-0.01776,0.01434
1782661515.859,0.27620,-0.01635,0.01354
1782661515.926,0.28848,-0.01376,0.01153
1782661515.993,0.29982,-0.01016,0.01102
1782661516.026,0.29982,-0.01016,0.01102
1782661516.059,0.31332,-0.00827,0.01470
1782661516.093,0.31849,-0.00297,0.02002
1782661516.126,0.32857,-0.00526,0.01299
1782661516.193,0.34611,-0.00581,0.01115
1782661516.226,0.34611,-0.00581,0.01115
1782661516.260,0.35917,-0.00365,0.01660
1782661516.293,0.36039,0.00608,0.01345
1782661516.326,0.36918,0.00410,0.00873
1782661516.360,0.37965,-0.00094,0.01134
1782661516.460,0.39876,0.00569,0.02355
1782661516.526,0.41627,0.00935,0.03349
1782661516.560,0.41627,0.00935,0.03349
1782661516.593,0.43305,0.00907,0.02728
1782661516.660,0.45394,0.00828,0.03452
1782661516.693,0.45394,0.00828,0.03452
1782661516.760,0.45394,0.00828,0.03452
1782661516.793,0.47823,0.01189,0.03737
1782661516.826,0.47823,0.01189,0.03737
1782661516.860,0.47823,0.01189,0.03737
1782661516.893,0.49521,0.01203,0.02884
1782661516.927,0.50065,0.01660,0.03433
1782661516.960,0.50838,0.00755,0.03335
1782661517.027,0.51318,0.01999,0.03848
1782661517.060,0.51721,0.02416,0.03564
1782661517.093,0.52698,0.02928,0.03559
1782661517.127,0.53286,0.02322,0.03626
1782661517.160,0.53523,0.03502,0.03099
1782661517.193,0.54246,0.02992,0.03647
1782661517.227,0.54850,0.02637,0.04029
1782661517.260,0.55990,0.02546,0.04273
1782661517.293,0.55990,0.02546,0.04273
1782661517.327,0.56439,0.02593,0.04506
1782661517.393,0.57889,0.01760,0.04696
1782661517.427,0.58031,0.02211,0.04972
1782661517.460,0.59071,0.02445,0.04829
1782661517.493,0.59533,0.02155,0.04633
1782661517.527,0.59953,0.01655,0.05550
1782661517.560,0.59953,0.01655,0.05550
1782661517.594,0.60692,0.02182,0.04466
1782661517.627,0.61125,0.01998,0.06460
1782661517.660,0.61984,0.00352,0.06489
1782661517.694,0.63190,-0.00882,0.06207
1782661517.760,0.64113,-0.00661,0.06309
1782661517.794,0.64537,-0.00387,0.06053
1782661517.827,0.64803,-0.00082,0.05849
1782661517.860,0.65280,-0.00320,0.06243
1782661517.927,0.66679,-0.00986,0.06621
1782661517.960,0.66679,-0.00986,0.06621
1782661517.994,0.67551,-0.00977,0.06580
1782661518.027,0.67551,-0.00977,0.06580
1782661518.060,0.68407,-0.00795,0.06708
1782661518.094,0.68853,-0.00677,0.06814
1782661518.127,0.69565,-0.00820,0.06834
1782661518.194,0.71067,-0.01184,0.06678
1782661518.227,0.71067,-0.01184,0.06678
1782661518.260,0.72387,-0.01322,0.06829
1782661518.294,0.72387,-0.01322,0.06829
1782661518.327,0.73647,-0.01271,0.06791
1782661518.361,0.73647,-0.01271,0.06791
1782661518.394,0.74635,-0.00855,0.06863
1782661518.427,0.75263,-0.00848,0.07021
1782661518.461,0.76029,-0.01080,0.07057
1782661518.561,0.77624,-0.00731,0.07234
1782661518.594,0.78128,-0.00705,0.07307
